"treeID","Z","npoints","convhull_area","area","perimeter","max_area_conifer_2","avg_area_conifer_2","max_perimeter_conifer_2","avg_perimeter_conifer_2","crown_diameter_hull_conifer_2","AGB_conifer_2"
110,22.13,25,16.27,16.2701500002295,22.2920647709153,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,22.2920647709153,7988.6560991059
111,22.13,4,0.592,0.591600000014296,3.30103889269775,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,3.30103889269775,261.619037299242
112,22.11,16,4.992,4.99195000011241,9.49639456743681,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,9.49639456743681,1731.45806597375
113,22.08,13,2.957,2.95705000008456,8.66383546550961,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,8.66383546550961,1465.64080950691
114,22.08,7,1.898,1.8978000000352,5.71831628579229,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,5.71831628579229,696.684787751059
115,22.08,6,0.474,0.474249999970198,3.79018868978434,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,3.79018868978434,333.679238869962
116,22.07,12,3.376,3.37609999999404,7.24433491330871,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,7.24433491330871,1063.09357080329
117,22.06,9,1.702,1.70165000006091,5.26948909864556,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,5.26948909864556,600.879596939328
118,22.05,4,0.388,0.388100000098348,2.65929415924808,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,2.65929415924808,176.522946133085
119,22.05,19,5.296,5.29565000010189,9.34189362553989,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,9.34189362553989,1673.19997807886
121,22.04,23,11.884,11.8838499998674,14.3636353368433,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,14.3636353368433,3610.93719330076
123,22.02,8,1.524,1.52370000036899,6.17885852690471,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,6.17885852690471,796.410043160658
124,22.02,13,4.192,4.19164999987697,8.65744916426254,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,8.65744916426254,1456.59551506931
125,22.01,11,3.64,3.63965000008466,8.06329782496169,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,8.06329782496169,1281.4910451685
126,22.01,5,0.245,0.245249999978114,3.80135738807424,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,3.80135738807424,333.54014828203
127,22.01,10,3.436,3.43605000013486,7.7691006755743,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,7.7691006755743,1199.00634657403
128,22,5,0.59,0.590499999991152,3.66412611760412,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,3.66412611760412,312.04095855778
129,22,10,1.036,1.03644999995595,4.46805184377412,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,4.46805184377412,445.057524342566
130,22,5,0.635,0.634700000053272,3.472049801951,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,3.472049801951,283.369697411977
131,21.99,7,1.658,1.65770000009798,5.673107129607,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,5.673107129607,681.852893510154
132,21.99,8,0.984,0.984449999872595,4.8500602083377,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,4.8500602083377,515.037068819839
133,21.98,7,0.6,0.60029999994731,3.53312317584516,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,3.53312317584516,291.878254141963
134,21.97,4,0.533,0.53294999996433,3.56036340857218,91.3719000001438,2.24912193784187,39.1402058247097,5.90611607767856,3.56036340857218,295.677729931676
