"treeID","Z","npoints","convhull_area","area","perimeter","max_area_conifer_drone","avg_area_conifer_drone","max_perimeter_conifer_drone","avg_perimeter_conifer_drone","crown_diameter_hull_conifer_drone","AGB_conifer_drone"
8469,6.9488,1747,52.102,52.1016915299988,29.4573874592378,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,29.4573874592378,1654.4139929013
8476,0,331,11.383,11.3826045399474,15.1344683107428,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,15.1344683107428,0
8489,6.9084,30,0.267,0.2669134450407,2.06610552003282,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,2.06610552003282,14.0726736756057
8498,6.8855,839,17.582,17.58184739016,17.7031190981133,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,17.7031190981133,654.15641474767
8502,6.8749,577,5.366,5.36648578511085,8.68707859303371,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,8.68707859303371,182.414269413999
8504,6.8716,722,14.747,14.7468110652408,15.4014936344096,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,15.4014936344096,507.971139557937
8520,6.8202,203,1.591,1.59126808494329,5.02763172312555,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,5.02763172312554,67.5624487239889
8533,6.7945,91,1.449,1.44946919009089,4.84862741529969,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,4.84862741529969,62.8908652412039
8544,6.7611,278,2.769,2.76866212498862,6.27037125990072,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,6.27037125990072,98.7765754724878
8553,6.7382,3149,17.781,17.7810431153048,17.0664333805441,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,17.0664333805441,589.382312927489
8557,6.7278,1269,78.769,78.7691620553087,35.623805587931,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,35.6238055879309,2194.19854588115
8587,6.6461,2895,60.037,60.0367277446203,31.1002570325238,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,31.1002570325238,1683.4886233323
8592,6.6308,1000,15.098,15.0981498357141,14.8099368177386,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,14.8099368177386,444.284554556046
8598,6.6185,844,17.905,17.9053829743061,16.5094118420291,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,16.5094118420291,537.857423713729
8618,6.5479,3380,86.861,86.8610868644901,35.7878852167654,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,35.7878852167654,2107.55111721742
8642,6.4907,6398,135.494,135.493793934875,44.5605526907516,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,44.5605526907516,3071.78866202929
8649,6.4719,610,7.706,7.70602934469935,11.1045406866384,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,11.1045406866384,254.074428125479
8655,6.4554,4039,108.293,108.292605629569,40.7968543318664,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,40.7968543318664,2597.47975002559
8664,6.4308,438,3.767,3.76701442967169,7.98295697038092,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,7.98295697038092,139.134714507443
8666,6.4282,286,6.019,6.01858877981431,9.29890792437225,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,9.29890792437224,182.701091320422
8702,6.3001,3921,74.315,74.314548824681,35.454686141934,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,35.454686141934,1934.26383707347
8731,6.2136,304,3.76,3.76031155003875,7.52107113551027,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,7.52107113551027,117.596152808885
8736,6.1986,623,13.962,13.9617557597085,13.9514256152079,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,13.9514256152079,353.867601347813
8745,6.1755,1465,12.34,12.3395881400211,13.8327118982991,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,13.8327118982991,346.174595960497
8752,6.1673,485,10.019,10.0189449947793,12.499452337453,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,12.499452337453,288.053403474505
8768,6.1195,1111,92.988,92.9876019952353,45.6096079264687,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,45.6096079264687,2882.04224397216
8773,6.1149,3131,35.944,35.9443238198292,22.8377174400602,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,22.8377174400602,834.436402736559
8796,0,3431,63.812,63.8118099896237,31.3515253802319,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,31.3515253802319,0
8798,6.058,1414,17.257,17.2565565998957,16.3916280787913,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,16.3916280787913,453.221913257873
8818,0,596,10.415,10.4148678099154,13.887449731553,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,13.887449731553,0
8820,6.0066,640,65.473,65.4725657755625,32.7609493001284,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,32.7609493001284,1541.70561295049
8828,5.9857,2549,27.815,27.8146091199014,19.8629081649943,312.970401124912,29.7593746987942,62.7467997642881,17.6617583368406,19.8629081649943,625.605261717173
